Block,Started from 09/03/2024 to 30/11/2024(Nurseries),Completed from 09/03/2024 to 30/11/2024(Nurseries),Ongoing(Nurseries),Number of saplings planted(Plantation),Number of plants produced(Plantation),Started from 09/03/2024 to 30/11/2024(Plantation),Completed from 09/03/2024 to 30/11/2024(Plantation),Ongoing(Plantation),Number of saplings planted(Plantation),Number of plants produced(Plantation),Started from 09/03/2024 to 30/11/2024(Total),Completed from 09/03/2024 to 30/11/2024(Total),Ongoing(Total),Number of saplings planted(Total),Number of plants produced(Total),No. of Amrit Sarovar Works Identified (Marked),Amrit Sarovar Works Approved (with Geotagged) not yet started,Amrit Sarovar Works Ongoing,Amrit Sarovar Works Completed,Works for improving productivity of land,Plantation related works,Rural Housing and Related Works,Infrastructure for promotion of livestock,No. of HHs completed 60 days in FY 2024-2025,No.of ELIGIBLE HHs (age group:18-35),No.of ELIGIBLE HHs (age group:18-45),Total Number of GPs,Total Number of GPs audited atleast once,Number of Issues Reported(Financial Misappropriation),Amount (Rs.)(Financial Misappropriation),Number of Issues Reported(Financial Deviation),Amount (Rs.)(Financial Deviation),Number of Issues Reported(Process Violation),Amount (Rs.)(Process Violation),Number of Issues Reported(Grievances),Amount (Rs.)(Grievances),Number of Issues Reported(Total),Amount (Rs.)(Total)
BASANTRAY,0,0,0,0,0,38,86,34,0,5215,38,86,34,0,5215,14,0,1,2,0,0,0,2,1445,625,1086,14,10,79,176965,82,8336637,77,27075,20,1400,258,8542077
BOARIJORE,0,0,0,0,0,201,399,195,0,3701,201,399,195,0,3701,3,0,1,0,8,0,1,13,5778,2351,4232,22,5,15,512142,86,24803018,50,1255337,4,29250,155,26599747
GODDA,0,0,0,0,0,110,667,80,0,36267,110,667,80,0,36267,13,0,3,7,0,0,16,0,1759,594,1308,34,23,97,586414,203,1535812,177,71915,25,700,502,2194841
MAHAGAMA,0,0,0,0,0,23,273,21,0,2020,23,273,21,0,2020,0,0,0,0,0,0,1,1,1590,593,1112,30,0,0,0,0,0,0,0,0,0,0,0
MEHARMA,0,0,0,0,0,54,7,51,0,94,54,7,51,0,94,0,0,0,0,0,0,0,0,3304,1157,2235,23,2,7,482239,40,10252574,20,229485,3,21090,70,10985388
PATHERGAMA,1,0,1,0,0,349,382,247,0,2695,350,382,248,0,2695,7,0,2,5,1,0,45,2,1899,855,1459,19,0,0,0,0,0,0,0,0,0,0,0
PORAIYAHAT,0,0,0,0,0,183,35,149,0,2561,183,35,149,0,2561,0,0,0,0,7,0,31,2,6365,2833,4865,31,8,17,5256,78,82866,107,5840,6,2944,208,96906
SUNDERPAHARI,0,0,0,0,0,102,24,80,0,484,102,24,80,0,484,0,0,0,0,0,0,6,0,2425,1003,1834,13,0,0,0,0,0,0,0,0,0,0,0
THAKURGANGTI,0,0,0,0,0,68,33,38,0,309,68,33,38,0,309,2,0,0,0,0,0,10,0,5380,2759,4483,16,2,22,421619,21,6847589,19,334867,3,187461,65,7791536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
